PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,[1] 07172024_300SPD_5cmIO_JW_200ngMix1_Rep1.raw.PG.MS2Quantity,[2] 07172024_300SPD_5cmIO_JW_200ngMix1_Rep2.raw.PG.MS2Quantity,[3] 07172024_300SPD_5cmIO_JW_200ngMix1_Rep3.raw.PG.MS2Quantity,[4] 07172024_300SPD_5cmIO_JW_200ngMix2_Rep1.raw.PG.MS2Quantity,[5] 07172024_300SPD_5cmIO_JW_200ngMix2_Rep2.raw.PG.MS2Quantity,[6] 07172024_300SPD_5cmIO_JW_200ngMix2_Rep3.raw.PG.MS2Quantity,[7] 07172024_300SPD_5cmIO_JW_200ngMix3_Rep1.raw.PG.MS2Quantity,[8] 07172024_300SPD_5cmIO_JW_200ngMix3_Rep2.raw.PG.MS2Quantity,[9] 07172024_300SPD_5cmIO_JW_200ngMix3_Rep3.raw.PG.MS2Quantity,[10] 07172024_300SPD_5cmIO_JW_200ngMix4_Rep1.raw.PG.MS2Quantity,[11] 07172024_300SPD_5cmIO_JW_200ngMix4_Rep2.raw.PG.MS2Quantity,[12] 07172024_300SPD_5cmIO_JW_200ngMix4_Rep3.raw.PG.MS2Quantity,[13] 07172024_300SPD_5cmIO_JW_200ngMix5_Rep1.raw.PG.MS2Quantity,[14] 07172024_300SPD_5cmIO_JW_200ngMix5_Rep2.raw.PG.MS2Quantity,[15] 07172024_300SPD_5cmIO_JW_200ngMix5_Rep3.raw.PG.MS2Quantity
A0A024QZ42;O75340,A0A024QZ42;O75340,PDCD6,Homo sapiens,"HCG1985580, isoform CRA_c;Programmed cell death protein 6",2658.780762,2635.916016,2582.492676,2526.102783203125,2616.052734,2471.543945,2946.740234,2827.432129,2649.728759765625,2239.186523,2012.872314453125,1880.0050048828125,2701.997559,2424.002441,2707.054688
A0A024QZP7;P06493,A0A024QZP7;P06493,CDK1,Homo sapiens,"Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a;Cyclin-dependent kinase 1",3121.780273,3169.958984,2833.609863,3118.410645,3161.774169921875,2814.757080078125,3477.060547,3543.577880859375,3106.927001953125,2780.778564453125,2516.536865234375,3099.220703,3285.912353515625,3220.958496,3102.018066
A0A024QZX5;A0A087X1N8;A0A2R8YD12;P35237,A0A024QZX5;A0A087X1N8;A0A2R8YD12;P35237,SERPINB6,Homo sapiens,Serpin family B member 6;Serpin family B member 6;Serpin family B member 6;Serpin B6,2422.814941,2153.210938,2149.623535,2178.278076171875,2357.000732421875,2399.831055,2602.543701171875,2566.585938,2357.582275390625,2306.479248046875,2188.273926,2247.60791,2415.486083984375,2386.764892578125,2408.752685546875
A0A024R161;P50151,A0A024R161;P50151,DNAJC25-GNG10;GNG10,Homo sapiens,Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10,1191.249023,1223.607666015625,1114.983154296875,955.2178344726562,771.0647583007812,1160.323486328125,1006.944824,899.7587280273438,1087.974121,1435.8704833984375,895.9280395507812,1030.831787109375,1030.4554443359375,1213.7276611328125,943.3795776367188
A0A024R4E5;Q00341,A0A024R4E5;Q00341,HDLBP,Homo sapiens,High density lipoprotein binding protein;Vigilin,1532.285400390625,1426.139648,1520.4273681640625,1497.332763671875,1488.415283203125,1491.029785,1481.8052978515625,1516.8607177734375,1551.8055419921875,1537.9466552734375,1496.0904541015625,1513.906982421875,1508.3319091796875,1585.0313720703125,1499.475098
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8,A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8,TMEM120A,Homo sapiens,Transmembrane protein 120A;Transmembrane protein 120A (Fragment);Transmembrane protein 120A;Ion channel TACAN,146.43844604492188,179.51095581054688,202.8290557861328,213.26853942871094,146.22164916992188,133.12527465820312,157.95233154296875,162.41578674316406,NaN,123.98683166503906,196.0643768310547,241.27438354492188,162.7283935546875,117.54700469970703,136.23565673828125
A0A024R571;Q9H4M9,A0A024R571;Q9H4M9,EHD1,Homo sapiens,EH domain containing 1;EH domain-containing protein 1,1647.2806396484375,1664.8907470703125,1620.4342041015625,1566.49707,1629.421630859375,1654.274414,1410.1363525390625,1627.718262,1535.69043,1615.497314453125,1568.2166748046875,1620.1226806640625,1630.968505859375,1651.364013671875,1642.744629
A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002,A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002,ELOF1,Homo sapiens,Transcription elongation factor 1 homolog,262.9790954589844,207.07232666015625,227.0880584716797,190.19024658203125,150.59193420410156,191.30604553222656,184.09471130371094,233.10484313964844,162.07801818847656,165.63389587402344,177.3819580078125,133.8859405517578,198.54991149902344,256.54351806640625,238.8438262939453
A0A024RA52;P25787,A0A024RA52;P25787,PSMA2,Homo sapiens,Proteasome subunit alpha type;Proteasome subunit alpha type-2,2755.291992,2675.196777,2502.875488,2616.819824,2672.236328,2644.173828,2744.55957,2814.332031,2696.883544921875,3004.240966796875,3118.527832,2969.914551,2580.717529296875,2787,2528.986083984375
A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1,A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1,SLC22A18,Homo sapiens,"Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a;Solute carrier family 22 member 18;Solute carrier family 22 member 18;Solute carrier family 22 member 18",612.5552978515625,502.6120910644531,613.5734252929688,496.5094299316406,675.4262695,617.0802612304688,567.6223754882812,635.2373047,554.1008911132812,707.9971313476562,819.8358764648438,511.52960205078125,516.1411133,699.8799438476562,536.3865356445312
A0A024RCQ8;A0A0G2JH76;A0A0G2JHB6;A0A0G2JIU6;A0A0G2JK02;A0A0G2JKR3;A0A0G2JLA3;A0A0G2JLL3;A0A140T8X7;A0A140T9Y1;G8JLL2;Q9UMR5,A0A024RCQ8;A0A0G2JH76;A0A0G2JHB6;A0A0G2JIU6;A0A0G2JK02;A0A0G2JKR3;A0A0G2JLA3;A0A0G2JLL3;A0A140T8X7;A0A140T9Y1;G8JLL2;Q9UMR5,PPT2;PPT2;PPT2;PPT2;PPT2;PPT2;;;PPT2;PPT2;PPT2;PPT2,Homo sapiens,"HCG1999928, isoform CRA_a;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2 (Fragment);Palmitoyl-protein thioesterase 2 (Fragment);Lysosomal thioesterase PPT2",887.5209350585938,752.1777954101562,667.9007568359375,927.3809204101562,833.7816772460938,919.0914916992188,966.8344116210938,1059.490723,860.7037353515625,861.6738891601562,598.9827270507812,991.3996582,1015.4352416992188,875.6578369140625,721.8863525390625
A0A024RCR6;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379,A0A024RCR6;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379,BAG6,Homo sapiens,Large proline-rich protein BAG6,942.6838989257812,862.2056274414062,915.3659057617188,1009.958740234375,943.3830566,867.3563842773438,950.6658325195312,898.0966186523438,943.7101440429688,896.1303711,956.2030639648438,849.4686889648438,992.2553711,948.0836181640625,976.2166137695312
A0A075B6E5;A0A0U1RRM6;Q8N8S7,A0A075B6E5;A0A0U1RRM6;Q8N8S7,ENAH,Homo sapiens,ENAH actin regulator (Fragment);ENAH actin regulator;Protein enabled homolog,371.7094727,398.7671813964844,440.2479553222656,343.2601013183594,579.8617553710938,471.6684875488281,490.4425964355469,584.8958129882812,511.5118408203125,363.6337891,432.6336975097656,327.94683837890625,457.0364074707031,468.51373291015625,331.86578369140625
A0A075B6F6;A0A0S2Z6F0;A0A3B3IT72;A0A3B3IUB5;Q8TCT9,A0A075B6F6;A0A0S2Z6F0;A0A3B3IT72;A0A3B3IUB5;Q8TCT9,HM13,Homo sapiens,Histocompatibility minor 13 (Fragment);Histocompatibility 13 isoform 2;Histocompatibility minor 13;Histocompatibility minor 13;Minor histocompatibility antigen H13,2361.108154296875,2290.880371,2351.26709,2151.732177734375,2263.361572265625,2382.971923828125,2494.854004,1850.5396728515625,2314.627685546875,2776.578613,2716.668457,2640.994873046875,2408.017822265625,2039.976563,2315.135009765625
